NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Orange CDP, Connecticut",13946,45.4,2.85,1785,2801,12296,196,565,6838,7108,407,113,299,164,5031,4875,156,4243,632,384500,1810,4500,87,79,5031,2683,609,156,4875,107047,49776,526,7530,524,13887,7004,72,6463,6894,09,57670,Connecticut,2015
"Newtown borough, Connecticut",2009,45.1,2.81,149,445,1827,8,151,970,1039,27,26,29,7,735,711,24,632,79,405300,1958,701,10,18,735,497,153,24,711,123750,52379,82,1080,68,2006,998,0,830,952,09,52910,Connecticut,2015
"South Woodstock CDP, Connecticut",1155,46.2,2.13,282,158,1155,0,0,577,578,48,10,18,19,749,541,208,336,205,228300,967,488,48,0,749,200,43,208,541,57232,35721,51,571,13,1155,520,0,487,508,09,71530,Connecticut,2015
"Noank CDP, Connecticut",2133,50.3,2.37,168,458,1932,40,71,1048,1085,5,33,29,46,990,896,94,616,280,419600,1184,737,21,83,990,407,109,94,896,88750,46384,117,1187,110,2128,1053,0,983,1070,09,53260,Connecticut,2015
"Winsted CDP, Connecticut",7753,46.5,2.25,1421,633,7167,207,1091,3855,3898,235,68,212,132,4070,3414,656,1695,1719,159200,953,1949,173,768,4070,1086,256,656,3414,48741,27651,398,4213,1161,7711,3815,95,3582,3689,09,87350,Connecticut,2015
"Groton city, Connecticut",9305,34.0,2.17,1943,832,6517,1164,1446,4978,4327,446,25,345,110,4885,4281,604,1776,2505,215700,933,1657,201,492,4885,1293,197,604,4281,54244,30820,375,5476,1282,9259,4832,237,4826,5010,09,34180,Connecticut,2015
"Mystic CDP, Connecticut",3981,55.6,1.90,451,1063,3766,36,95,1828,2153,90,0,79,14,2301,1951,350,1252,699,411900,1267,1221,117,215,2301,808,210,350,1951,81528,57184,99,2141,110,3711,1966,8,1767,2010,09,49810,Connecticut,2015
"Old Mystic CDP, Connecticut",3625,43.7,2.48,559,675,3253,89,228,1829,1796,132,15,153,30,1540,1451,89,1206,245,245100,1300,1335,43,46,1540,878,148,89,1451,87470,41448,39,2100,154,3625,2061,0,1908,1990,09,57180,Connecticut,2015
"Middletown city, Connecticut",47218,36.3,2.23,7799,6119,36311,6111,4547,22845,24373,1359,1248,1653,387,21081,19070,2011,10092,8978,226800,1054,9332,1036,1969,21081,7318,1431,2011,19070,63691,34992,1789,26858,4709,42804,24962,695,23825,24645,09,47290,Connecticut,2015
"South Coventry CDP, Connecticut",1117,52.3,2.10,248,122,1101,8,0,606,511,17,0,39,53,536,521,15,323,198,283000,738,359,32,14,536,259,87,15,521,75099,36909,33,641,12,1117,608,14,590,608,09,69990,Connecticut,2015
"Bethel CDP, Connecticut",9731,42.1,2.39,1640,1421,8207,182,920,4688,5043,255,120,241,101,4274,4073,201,2829,1244,262200,1358,2081,584,650,4274,2165,372,201,4073,75038,39671,536,6035,404,9618,5499,101,5098,5301,09,04790,Connecticut,2015
"Stamford city, Connecticut",126592,35.9,2.67,17152,23242,77046,18492,32726,62956,63636,4497,1355,5975,1063,51165,46974,4191,26199,20775,501200,1603,20116,3411,4636,51165,19099,4753,4191,46974,79359,47819,6670,74696,11819,125625,67979,679,63150,66343,09,73000,Connecticut,2015
"Westport CDP, Connecticut",27343,45.1,2.78,1751,6778,24845,220,1186,13147,14196,754,310,343,356,10611,9740,871,8330,1410,1041800,1870,9180,468,295,10611,5774,1620,871,9740,162907,97395,922,12962,1268,27074,12019,120,10073,11710,09,83570,Connecticut,2015
"Plainfield Village CDP, Connecticut",2244,41.9,2.41,646,66,1991,88,110,1101,1143,22,57,79,44,1067,871,196,575,296,163100,767,438,182,209,1067,386,99,196,871,57050,27150,82,1118,193,2097,1036,77,1036,1036,09,60090,Connecticut,2015
"South Windham CDP, Connecticut",1458,39.6,2.37,372,109,1105,17,352,775,683,53,0,26,0,651,591,60,544,47,148600,-666666666,617,0,16,651,322,37,60,591,55781,25548,41,776,33,1441,735,0,697,705,09,71250,Connecticut,2015
"Blue Hills CDP, Connecticut",2872,43.1,2.88,725,198,219,2585,57,1477,1395,35,56,104,29,1024,996,28,803,193,154900,,898,0,70,1024,589,106,28,996,59643,22590,222,1750,320,2872,1528,8,1493,1493,09,06050,Connecticut,2015
"Glastonbury Center CDP, Connecticut",7409,43.6,2.24,846,1360,6396,102,267,3580,3829,232,215,112,129,3498,3238,260,2169,1069,287600,1145,1936,308,260,3498,1418,266,260,3238,88621,49661,261,4121,291,7257,3860,64,3661,3840,09,31270,Connecticut,2015
"Simsbury Center CDP, Connecticut",5926,44.4,2.63,450,1388,5401,190,431,2838,3088,88,36,96,26,2361,2169,192,1897,272,288700,1391,1707,214,53,2361,1382,346,192,2169,115392,48211,237,3393,191,5844,3156,8,2921,3072,09,69010,Connecticut,2015
"Suffield Depot CDP, Connecticut",1468,35.2,2.31,189,306,1440,0,72,601,867,50,27,44,0,626,600,26,353,247,259100,1184,262,155,16,626,289,75,26,600,65366,53328,64,820,134,1468,756,63,644,708,09,74655,Connecticut,2015
"Windsor Locks CDP, Connecticut",12564,42.5,2.51,2818,1426,10594,549,549,6112,6452,223,204,465,152,5295,4974,321,3847,1127,195800,1061,3777,374,276,5295,2663,569,321,4974,68944,34035,492,7242,714,12476,6739,119,6551,6625,09,87140,Connecticut,2015
"New Milford CDP, Connecticut",6915,40.3,2.37,1255,781,5810,348,871,3285,3630,108,139,226,35,3199,2889,310,1582,1307,216800,1000,1289,232,346,3199,1236,238,310,2889,50820,27064,298,4322,853,6837,4024,56,3894,3960,09,52560,Connecticut,2015
"Torrington city, Connecticut",35493,45.0,2.30,8184,3566,31935,873,3112,17739,17754,1178,474,1225,420,17195,15023,2172,9975,5048,167700,873,9308,933,2691,17195,6844,1238,2172,15023,56264,29737,1822,19805,3708,34743,17983,556,17203,17659,09,76500,Connecticut,2015
"Colchester CDP, Connecticut",4309,40.4,2.29,1049,653,4054,54,123,2056,2253,82,51,107,25,2065,1800,265,1003,797,216800,1067,1153,112,245,2065,773,208,265,1800,70625,34371,165,2481,346,4131,2305,43,2236,2281,09,15840,Connecticut,2015
"Stafford Springs CDP, Connecticut",5061,39.5,2.37,760,287,4662,62,314,2437,2624,114,72,119,29,2393,2127,266,1160,967,164100,833,1214,159,213,2393,889,149,266,2127,50392,25426,269,2744,965,5049,2475,187,2400,2465,09,72300,Connecticut,2015
"Norwich city, Connecticut",40254,36.9,2.47,8922,3023,26789,4618,6138,19898,20356,1352,672,1460,438,18310,16080,2230,8473,7607,176400,941,7678,1158,2275,18310,5759,1013,2230,16080,50078,26823,2256,22452,6267,39859,19952,1205,19263,19629,09,56200,Connecticut,2015
"Stonington borough, Connecticut",971,54.8,1.92,87,243,956,2,0,502,469,19,23,60,14,791,505,286,280,225,550000,1208,424,8,136,791,159,31,286,505,66705,55429,37,555,101,971,518,3,434,514,09,73700,Connecticut,2015
"Lake Pocotopaug CDP, Connecticut",3313,46.5,2.32,699,514,3060,0,202,1712,1601,59,56,41,27,1781,1428,353,1109,319,246100,950,1211,129,96,1781,828,136,353,1428,82955,43552,167,1975,160,3313,1808,14,1761,1808,09,41410,Connecticut,2015
"Old Saybrook Center CDP, Connecticut",2139,45.6,2.40,289,559,2014,0,121,987,1152,68,26,65,0,970,885,85,609,276,493600,1417,731,29,98,970,406,55,85,885,62969,43612,127,1037,80,2139,910,21,835,910,09,57390,Connecticut,2015
"Trumbull CDP, Connecticut",36571,43.1,2.98,4710,6961,32487,1262,2907,17872,18699,922,459,502,333,12542,12123,419,10709,1414,396500,1965,10953,494,104,12542,7477,1919,419,12123,111312,46037,1303,18657,809,36090,17314,138,15937,16933,09,77270,Connecticut,2015
"Branford Center CDP, Connecticut",6015,48.0,2.03,1321,741,5655,133,234,2585,3430,97,36,151,29,3300,2962,338,1298,1664,291200,1119,1073,222,554,3300,826,197,338,2962,56484,36753,400,3677,339,6015,3277,84,3176,3229,09,07345,Connecticut,2015
"Derby city, Connecticut",12796,40.1,2.55,2820,1516,10170,677,3244,6462,6334,477,13,632,100,5429,4911,518,2780,2131,207000,1086,1870,717,1052,5429,1746,280,518,4911,51596,26119,757,7113,1938,12553,6356,148,6026,6288,09,19480,Connecticut,2015
"Canton Valley CDP, Connecticut",1659,44.7,2.58,440,179,1594,26,12,788,871,72,0,63,13,740,642,98,517,125,253500,878,339,58,91,740,370,61,98,642,81250,46736,56,954,55,1659,898,38,879,879,09,12370,Connecticut,2015
"Newington CDP, Connecticut",30638,44.2,2.38,5022,5339,25412,1348,2758,14188,16450,597,348,1086,347,12990,12649,341,10132,2517,228600,1149,8264,1435,436,12990,6680,1350,341,12649,79960,38192,1143,18007,1324,30255,16864,173,15965,16412,09,52210,Connecticut,2015
"New Hartford Center CDP, Connecticut",1557,41.1,2.09,203,127,1536,0,153,695,862,0,0,0,0,846,738,108,572,166,188400,925,659,14,21,846,500,258,108,738,48051,26553,111,897,179,1557,786,0,699,786,09,51420,Connecticut,2015
"Oakville CDP, Connecticut",9246,42.9,2.65,2267,715,8650,362,518,4628,4618,275,155,328,149,3740,3440,300,2690,750,199600,948,2732,83,504,3740,1981,392,300,3440,66863,29771,498,4969,471,9097,4471,87,4073,4221,09,56690,Connecticut,2015
"Terryville CDP, Connecticut",5180,38.8,2.39,1063,514,4884,72,192,2500,2680,107,16,253,15,2310,2159,151,1538,621,184300,989,1595,79,194,2310,1151,271,151,2159,62469,30798,254,3081,430,5179,2827,65,2748,2817,09,75240,Connecticut,2015
"Moodus CDP, Connecticut",1212,40.3,2.25,282,151,1196,0,0,599,613,29,0,67,53,559,533,26,457,76,251500,993,421,26,51,559,346,68,26,533,91989,37936,31,742,89,1212,711,0,674,711,09,49110,Connecticut,2015
"Chester Center CDP, Connecticut",1847,50.9,2.20,297,308,1792,10,54,817,1030,62,9,36,32,874,807,67,583,224,324400,979,701,0,81,874,396,53,67,807,73299,39179,44,982,55,1797,938,9,856,901,09,14370,Connecticut,2015
"Durham CDP, Connecticut",2932,45.0,2.69,461,548,2869,0,30,1454,1478,114,35,88,16,1131,1087,44,943,144,323200,1198,1000,17,0,1131,631,196,44,1087,101652,43794,32,1517,61,2917,1485,17,1435,1485,09,20740,Connecticut,2015
"Higganum CDP, Connecticut",1683,44.9,2.47,215,298,1646,0,29,752,931,57,25,46,0,772,681,91,555,126,261500,1150,720,0,0,772,435,166,91,681,81776,40931,58,1058,122,1683,1000,0,961,1000,09,38050,Connecticut,2015
"Saybrook Manor CDP, Connecticut",1103,51.3,2.26,135,160,1034,0,51,501,602,10,17,28,0,1022,489,533,401,88,374000,2214,922,39,0,1022,242,62,533,489,81131,44156,19,524,116,1084,505,9,497,497,09,67050,Connecticut,2015
"Bristol city, Connecticut",60554,41.6,2.40,13361,7331,52745,2091,7511,30052,30502,1725,926,1808,709,26953,24921,2032,16371,8550,194600,894,15113,987,2920,26953,11578,2566,2032,24921,61478,31709,3111,33765,6241,59814,30636,955,28989,29917,09,08420,Connecticut,2015
"Oak Grove town, Louisiana",1497,41.3,2.29,270,117,1065,372,42,659,838,49,2,16,0,704,629,75,429,200,68900,505,571,2,10,704,129,7,75,629,28938,17412,46,603,324,1427,557,30,512,518,22,56820,Louisiana,2015
"Bryceland village, Louisiana",89,47.3,2.47,14,13,80,6,0,44,45,0,0,3,8,58,36,22,33,3,67200,-666666666,32,0,0,58,10,0,22,36,65000,32922,0,33,18,89,33,2,25,33,22,10705,Louisiana,2015
"Lutcher town, Louisiana",3415,42.3,2.31,893,231,1961,1454,87,1519,1896,98,52,142,51,1606,1444,162,1047,397,134800,772,1181,62,58,1606,497,81,162,1444,42368,23716,274,1541,527,3340,1267,31,1200,1212,22,46720,Louisiana,2015
"Merrydale CDP, Louisiana",9008,35.0,2.85,1761,929,588,8194,166,4120,4888,250,55,473,19,3354,3163,191,2210,953,112800,910,3116,0,0,3354,1615,164,191,3163,44673,21180,560,4634,1794,8992,4074,49,3765,3869,22,49940,Louisiana,2015
"Pollock town, Louisiana",425,32.4,2.49,90,19,408,9,9,174,251,20,6,23,3,204,171,33,99,72,92800,595,164,0,5,204,61,2,33,171,35469,21440,15,175,124,419,160,6,160,160,22,61580,Louisiana,2015
"Village St. George CDP, Louisiana",7294,36.5,2.62,828,1416,4836,1816,307,3122,4172,196,125,270,65,2882,2788,94,2218,570,173800,855,2385,156,0,2882,1712,236,94,2788,66990,40814,142,4167,825,7267,4025,0,3920,3975,22,78680,Louisiana,2015
"Wisner town, Louisiana",923,41.5,2.58,161,38,552,371,0,380,543,29,7,26,2,391,323,68,203,120,49100,482,318,3,0,391,57,2,68,323,21838,14471,44,358,276,832,314,12,308,312,22,82565,Louisiana,2015
"Colfax town, Louisiana",1706,37.0,2.65,378,71,555,1056,69,701,1005,105,14,31,3,714,553,161,318,235,60300,530,510,6,4,714,119,4,161,553,24479,13578,46,595,634,1492,549,41,529,529,22,16375,Louisiana,2015
"Martin village, Louisiana",595,46.1,2.73,170,41,535,54,2,321,274,33,9,6,4,282,218,64,195,23,86100,579,207,0,0,282,77,0,64,218,62222,28907,32,295,71,595,263,2,260,260,22,48925,Louisiana,2015
"St. Francisville town, Louisiana",1960,35.5,2.83,271,265,1582,340,67,1072,888,79,30,82,52,890,680,210,385,295,190100,858,592,7,21,890,198,25,210,680,55326,26782,32,889,475,1931,857,3,832,849,22,67215,Louisiana,2015
"Logansport town, Louisiana",1937,27.5,2.78,295,62,1189,685,67,762,1175,111,35,41,9,866,697,169,362,335,84800,604,575,25,4,866,208,9,169,697,27072,16105,69,765,597,1937,696,6,652,670,22,45040,Louisiana,2015
"Mermentau village, Louisiana",696,31.6,2.76,149,2,617,64,7,367,329,16,2,20,12,346,252,94,172,80,74200,296,231,0,16,346,69,0,94,252,36184,20492,14,293,143,691,279,0,258,272,22,49870,Louisiana,2015
"Georgetown village, Louisiana",389,29.2,3.30,91,8,381,0,0,186,203,21,4,6,2,148,118,30,73,45,82500,429,95,0,30,148,28,0,30,118,48636,18291,14,147,111,388,133,0,128,133,22,28660,Louisiana,2015
"Delta village, Louisiana",191,44.3,2.10,73,11,182,9,0,107,84,0,4,2,10,114,91,23,58,33,30000,383,21,0,0,114,8,0,23,91,21688,19272,12,89,36,191,77,4,77,77,22,20330,Louisiana,2015
"Hackberry CDP, Louisiana",1211,42.3,2.71,246,46,1211,0,48,577,634,71,6,18,21,681,447,234,408,39,103700,-666666666,506,0,0,681,137,14,234,447,64036,32954,8,577,49,1211,569,0,539,555,22,32405,Louisiana,2015
"Galliano CDP, Louisiana",7510,37.4,2.70,1575,129,6118,170,722,3560,3950,171,62,371,48,3130,2776,354,2114,662,105700,638,2302,8,0,3130,925,82,354,2776,50188,22570,186,3247,1169,7401,3061,26,2847,2900,22,28065,Louisiana,2015
"Ida village, Louisiana",181,58.1,1.91,61,8,171,8,0,96,85,4,3,9,5,115,95,20,87,8,60600,-666666666,99,2,0,115,35,2,20,95,36750,27836,5,75,17,181,70,3,69,70,22,36885,Louisiana,2015
"Lake Arthur town, Louisiana",2732,30.4,2.78,464,206,2281,326,57,1366,1366,211,23,131,23,1121,981,140,665,316,58800,624,779,29,37,1121,356,22,140,981,35121,19252,138,1101,823,2732,935,18,963,963,22,41050,Louisiana,2015
"Marrero CDP, Louisiana",31738,37.4,2.66,6900,1570,13586,15698,1637,14915,16823,1077,451,831,284,13203,11816,1387,7606,4210,127200,821,10513,623,382,13203,4117,471,1387,11816,34419,19213,1019,14182,7750,31427,13082,126,12811,12867,22,48785,Louisiana,2015
"Campti town, Louisiana",862,26.6,2.60,145,26,165,647,0,384,478,93,0,3,0,466,331,135,159,172,79000,533,311,0,0,466,50,8,135,331,15428,10448,64,288,439,841,224,3,216,224,22,12280,Louisiana,2015
"Alexandria city, Louisiana",47985,37.0,2.64,8797,3696,17628,27980,610,22940,25045,1768,526,1393,588,20974,17381,3593,9214,8167,130100,762,14894,574,1320,20974,5173,327,3593,17381,34579,20399,2483,20469,11968,46425,17967,392,17238,17469,22,00975,Louisiana,2015
"Morgan City city, Louisiana",12019,35.9,2.51,2641,797,8174,2618,1030,5630,6389,441,152,380,177,5537,4743,794,2721,2022,116700,676,4020,84,305,5537,1278,114,794,4743,43354,24013,511,5533,2612,11806,4973,77,4879,4908,22,52040,Louisiana,2015
"Grambling city, Louisiana",5067,24.3,2.86,445,382,372,4607,100,2392,2675,131,324,100,11,1857,1543,314,503,1040,83900,673,980,61,314,1857,169,9,314,1543,24375,11712,613,2454,1774,4355,1841,82,1676,1829,22,30515,Louisiana,2015
"Slaughter town, Louisiana",1297,35.0,2.61,301,72,1123,141,16,639,658,67,6,31,19,544,496,48,449,47,136900,775,471,10,2,544,281,10,48,496,63103,26535,26,621,54,1297,595,2,555,587,22,70770,Louisiana,2015
"St. Gabriel city, Louisiana",6872,37.6,2.54,1260,389,2368,4190,120,3931,2941,45,111,399,28,1381,1217,164,769,448,120500,597,903,21,0,1381,502,26,164,1217,40331,13291,145,1676,1009,3265,1474,8,1456,1475,22,67250,Louisiana,2015
"Lafourche Crossing CDP, Louisiana",2035,39.3,2.75,441,206,1761,192,74,980,1055,51,33,70,7,817,739,78,600,139,173100,732,656,11,0,817,294,29,78,739,74226,32053,30,987,118,2035,957,20,931,957,22,40878,Louisiana,2015
"Lakeshore CDP, Louisiana",1717,35.9,2.22,288,228,1354,319,78,760,957,100,0,74,0,905,773,132,590,183,104500,784,680,13,8,905,338,10,132,773,43875,27224,0,795,341,1717,795,0,737,761,22,41470,Louisiana,2015
"Lawtell CDP, Louisiana",1744,35.6,2.84,578,261,1068,676,0,808,936,72,0,51,34,614,614,0,563,51,78300,-666666666,552,0,0,614,172,0,0,614,47500,25114,0,648,231,1744,648,0,588,588,22,42520,Louisiana,2015
"Lemannville CDP, Louisiana",795,30.5,2.97,192,52,216,546,38,611,184,0,32,152,0,94,90,4,50,40,,-666666666,77,0,0,94,17,0,4,90,26597,10195,5,74,10,267,69,4,69,69,22,43255,Louisiana,2015
"Lockport Heights CDP, Louisiana",1386,39.4,2.65,387,93,1325,9,0,727,659,24,0,33,22,546,523,23,425,98,119300,740,326,32,0,546,138,22,23,523,56688,24064,9,615,230,1379,606,0,574,574,22,44970,Louisiana,2015
"Longville CDP, Louisiana",663,23.2,3.62,155,16,663,0,0,303,360,48,0,0,0,264,183,81,100,83,155500,-666666666,96,0,18,264,29,0,81,183,,16513,12,250,34,663,238,29,238,238,22,45530,Louisiana,2015
"Milton CDP, Louisiana",2854,32.7,2.93,363,433,2633,96,0,1442,1412,148,45,171,46,989,973,16,801,172,189200,986,763,16,0,989,604,14,16,973,85078,41360,35,1549,106,2854,1514,16,1377,1452,22,50815,Louisiana,2015
"Lakeview CDP, Louisiana",1072,45.2,2.21,175,54,851,173,0,489,583,28,0,0,7,586,484,102,346,138,85400,1024,455,0,0,586,179,0,102,484,36563,28794,18,372,103,1072,354,8,332,332,22,41645,Louisiana,2015
"Minorca CDP, Louisiana",1942,40.4,2.45,526,13,1486,449,9,987,955,23,7,106,49,906,739,167,549,190,53500,,377,13,0,906,265,7,167,739,35162,14989,28,711,590,1808,683,27,659,676,22,50990,Louisiana,2015
"Monterey CDP, Louisiana",693,26.7,2.76,133,84,693,0,0,421,272,66,12,0,7,262,251,11,220,31,87200,-666666666,131,0,0,262,152,24,11,251,,27615,12,268,192,693,256,0,256,256,22,51585,Louisiana,2015
"Moonshine CDP, Louisiana",130,32.3,3.25,33,0,20,110,0,34,96,0,0,0,3,40,40,0,40,0,52500,-666666666,25,0,0,40,15,0,0,40,,5854,14,37,91,130,23,0,23,23,22,51800,Louisiana,2015
"Oretta CDP, Louisiana",542,49.1,2.93,178,35,542,0,0,268,274,0,0,0,49,185,185,0,185,0,65200,-666666666,17,0,0,185,85,0,0,185,50069,16717,0,100,59,542,100,0,100,100,22,58150,Louisiana,2015
"Ossun CDP, Louisiana",2528,28.6,3.19,428,182,822,1325,217,1185,1343,132,39,154,18,829,793,36,568,225,114700,672,657,0,0,829,260,0,36,793,56194,19613,100,1085,907,2528,985,0,958,985,22,58360,Louisiana,2015
"Paulina CDP, Louisiana",1149,36.8,2.86,295,83,1116,33,0,560,589,27,0,22,9,402,402,0,337,65,169200,767,358,0,0,402,154,18,0,402,66698,30293,35,503,29,1149,468,0,468,468,22,59375,Louisiana,2015
"Pitkin CDP, Louisiana",493,52.1,2.55,136,37,457,0,0,211,282,0,8,6,0,246,193,53,143,50,52300,-666666666,139,0,0,246,30,0,53,193,45313,17862,8,195,80,493,173,32,187,187,22,60600,Louisiana,2015
"Pleasure Bend CDP, Louisiana",376,41.1,2.24,79,0,376,0,0,217,159,24,0,0,0,214,168,46,122,46,89000,-666666666,119,0,0,214,55,0,46,168,43750,16681,0,164,61,366,164,0,164,164,22,61160,Louisiana,2015
"Pointe a la Hache CDP, Louisiana",188,30.3,3.24,68,0,0,188,0,51,137,0,0,0,0,88,58,30,58,0,81400,-666666666,33,0,0,88,9,0,30,58,107845,21480,8,138,75,188,130,0,118,118,22,61440,Louisiana,2015
"Point Place CDP, Louisiana",365,47.1,2.52,118,46,125,121,11,217,148,7,0,0,0,212,145,67,137,8,101700,-666666666,183,0,0,212,63,0,67,145,46989,27505,40,187,0,365,147,0,139,139,22,61473,Louisiana,2015
"Prairieville CDP, Louisiana",29721,34.1,3.02,3955,5366,24167,3703,888,14560,15161,1051,295,1061,339,10503,9844,659,8620,1224,218800,943,8481,195,32,10503,6453,838,659,9844,95807,34302,757,16240,2188,29721,15483,108,14327,15048,22,62385,Louisiana,2015
"Presquille CDP, Louisiana",1730,39.3,3.23,552,199,1582,12,81,845,885,61,36,34,39,536,536,0,536,0,227700,-666666666,521,15,0,536,249,21,0,536,103617,38885,45,903,117,1713,858,0,784,845,22,62510,Louisiana,2015
"Prospect CDP, Louisiana",525,23.1,4.49,29,27,525,0,0,347,178,17,25,35,0,230,117,113,67,50,188800,-666666666,182,0,0,230,46,16,113,117,54583,18491,25,255,0,525,230,10,217,217,22,62733,Louisiana,2015
"Reddell CDP, Louisiana",628,23.8,2.12,123,9,415,213,0,345,283,61,0,0,0,324,296,28,209,87,129700,-666666666,248,0,0,324,134,0,28,296,46129,19528,29,273,15,628,244,0,182,182,22,63890,Louisiana,2015
"Roanoke CDP, Louisiana",441,57.5,1.88,189,9,416,25,0,218,223,0,0,0,36,234,234,0,204,30,,-666666666,211,0,0,234,45,0,0,234,34545,25722,20,137,38,441,117,14,117,117,22,65290,Louisiana,2015
"Rock Hill CDP, Louisiana",216,50.4,1.76,116,23,216,0,0,109,107,0,0,53,8,123,123,0,123,0,61500,-666666666,71,0,0,123,39,0,0,123,,28745,8,127,0,216,119,0,119,119,22,65535,Louisiana,2015
"Romeville CDP, Louisiana",257,27.0,3.57,46,0,59,198,0,82,175,20,0,0,0,72,72,0,53,19,105400,-666666666,57,0,0,72,15,0,0,72,47976,12749,0,114,42,257,114,0,114,114,22,65850,Louisiana,2015
"St. James CDP, Louisiana",877,38.1,2.56,235,54,65,812,0,407,470,4,23,39,13,421,343,78,249,94,75200,-666666666,295,0,0,421,80,16,78,343,34511,20940,35,388,159,877,353,8,348,348,22,67355,Louisiana,2015
"St. Maurice CDP, Louisiana",439,45.8,1.74,94,0,74,365,0,213,226,0,16,0,0,270,253,17,116,137,,-666666666,195,0,0,270,20,0,17,253,,8808,0,119,271,439,119,10,119,119,22,67635,Louisiana,2015
"Singer CDP, Louisiana",632,50.1,3.02,306,68,632,0,0,260,372,0,0,0,22,209,209,0,185,24,,-666666666,112,0,0,209,129,0,0,209,65181,18508,12,342,119,632,330,0,330,330,22,70665,Louisiana,2015
"Siracusaville CDP, Louisiana",463,29.2,2.95,101,0,21,367,0,169,294,0,0,0,11,191,157,34,80,77,,573,49,24,18,191,18,0,34,157,25461,13373,56,197,145,463,141,0,141,141,22,70675,Louisiana,2015
"Sorrel CDP, Louisiana",620,40.6,3.01,230,6,249,317,16,277,343,0,21,0,19,260,206,54,178,28,54600,-666666666,158,0,0,260,66,0,54,206,45978,15472,6,222,68,620,216,0,216,216,22,71190,Louisiana,2015
"Spokane CDP, Louisiana",266,56.3,1.76,70,59,249,12,0,121,145,0,0,18,0,390,151,239,130,21,243500,-666666666,325,0,0,390,50,8,239,151,78403,71105,6,120,21,266,114,0,114,114,22,72310,Louisiana,2015
