NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"St. Mary Parish, Louisiana",53441,37.7,2.58,12448,2779,32014,16636,3291,26345,27096,1776,622,1624,505,23162,20320,2842,13607,6713,92900,674,15422,226,822,23162,5311,406,2842,20320,40781,21847,2935,24186,11746,52356,21161,232,20585,20872,22,101,Louisiana,2015
"West Carroll Parish, Louisiana",11454,39.7,2.48,2657,527,9346,1917,332,5764,5690,322,150,380,125,5065,4296,769,2961,1335,66800,519,3541,17,27,5065,1033,16,769,4296,31926,19353,531,4448,2746,10646,3917,179,3773,3824,22,123,Louisiana,2015
"Union Parish, Louisiana",22533,41.7,2.60,6161,1262,16065,5835,974,11112,11421,691,258,576,304,11420,8517,2903,6826,1691,88000,506,7045,40,141,11420,2764,307,2903,8517,34992,19676,677,8780,6166,21964,8096,63,7720,7931,22,111,Louisiana,2015
"Caldwell Parish, Louisiana",9990,39.9,2.48,2117,438,8121,1755,266,5270,4720,225,210,318,74,5014,3838,1176,2870,968,64400,513,3086,13,174,5014,1207,50,1176,3838,33294,21493,451,4406,2053,9499,3955,22,3785,3901,22,021,Louisiana,2015
"East Carroll Parish, Louisiana",7501,33.3,2.26,1606,326,2156,5229,99,4272,3229,132,90,490,36,3156,2678,478,1278,1400,49300,450,2264,14,213,3156,469,27,478,2678,21099,11313,447,2329,2903,6051,1882,244,1804,1872,22,035,Louisiana,2015
"Lafayette Parish, Louisiana",231811,34.0,2.55,37247,31290,161932,59539,9996,113159,118652,8208,3095,8897,1879,96468,88995,7473,57277,31718,166700,781,62180,2572,1599,96468,34383,3499,7473,88995,51869,30240,7822,124560,36346,226932,116522,722,111336,114310,22,055,Louisiana,2015
"Evangeline Parish, Louisiana",33768,35.8,2.65,6219,2005,23125,9408,958,17197,16571,1217,577,1153,255,14815,11954,2861,7895,4059,83900,539,11378,127,429,14815,3309,145,2861,11954,30009,18484,1276,12337,8373,31469,10978,581,10434,10635,22,039,Louisiana,2015
"Lincoln Parish, Louisiana",47349,27.4,2.56,5583,5290,25740,19365,1277,23005,24344,1445,1733,1370,408,19645,17169,2476,9232,7937,126100,666,11633,164,1629,19645,4636,351,2476,17169,33467,21003,2767,23339,14146,44103,20541,152,19649,20305,22,061,Louisiana,2015
"St. Bernard Parish, Louisiana",42858,33.0,2.92,9733,2702,30949,9237,4133,21298,21560,1625,447,1703,348,16800,14545,2255,9810,4735,130000,840,12295,759,1561,16800,5125,332,2255,14545,42753,20160,2434,19970,8209,42438,17494,296,17103,17348,22,087,Louisiana,2015
"Webster Parish, Louisiana",40617,40.9,2.51,9432,3038,25817,13942,725,19722,20895,1316,490,1184,568,19421,15765,3656,11176,4589,81800,596,13575,161,251,19421,4934,238,3656,15765,33681,20248,1262,16624,9327,39581,15313,435,14876,15059,22,119,Louisiana,2015
"West Baton Rouge Parish, Louisiana",24669,35.4,2.61,5230,2296,14740,9328,678,12159,12510,868,362,962,167,9873,9179,694,6471,2708,162500,774,7069,30,105,9873,3756,354,694,9179,53703,26118,814,12605,4662,23988,11757,56,11279,11424,22,121,Louisiana,2015
"Iberville Parish, Louisiana",33229,38.4,2.61,7246,2029,16462,15999,790,16949,16280,1016,436,1296,323,12914,11191,1723,8354,2837,112700,626,9172,127,351,12914,3712,321,1723,11191,45117,21428,1126,14232,5612,29378,13049,150,12488,12678,22,047,Louisiana,2015
"Red River Parish, Louisiana",8838,39.8,2.54,2169,504,5187,3446,130,4305,4533,334,210,233,128,4132,3434,698,2569,865,83000,571,2735,27,157,4132,1024,39,698,3434,38000,23016,328,3576,1937,8701,3241,73,3080,3159,22,081,Louisiana,2015
"Morehouse Parish, Louisiana",27012,39.3,2.50,6529,1683,13616,12774,322,12904,14108,1008,318,796,253,12494,10447,2047,6852,3595,80600,561,9324,144,135,12494,2629,139,2047,10447,28003,18209,863,10769,7432,26069,9888,187,9628,9708,22,067,Louisiana,2015
"Orleans Parish, Louisiana",376738,35.4,2.38,52808,51838,129195,224306,20601,180183,196555,11900,4820,15182,3530,191951,153140,38811,70843,82297,192400,924,84767,23208,28743,191951,39115,5271,38811,153140,36792,27721,19523,190715,98823,365569,170454,2920,161560,167846,22,071,Louisiana,2015
